ID,Status,City,State,Zip,Life.hours,Life.No.Call.No.Show,Life.Call.Email.to.miss.shift,Life.Absence,YTD.hours,No.Call.No.Show,Call.Email.to.miss.shift,Absence,MTD.hours,MTD.No.Call.No.Show,MTD.Call.Email.to.miss.shift,MTD.Absence,Date.entered,Start.date,Stop.date,Orientation.Date
1050,Active,Philadelphia,PA,19107,0,0,0,0,0,0,0,0,0,0,0,0,05-24-2017,05-24-2017,,
1051,Active,Philadelphia,PA,19128,359.5,0,0,0,42.75,0,0,0,4,0,0,0,12-10-2012,12-10-2012,,
1052,Active,,,,0,0,0,0,0,0,0,0,0,0,0,0,10-11-2017,10-11-2017,,
1053,Active,Philadelphia,PA,19121,6,0,0,0,6,0,0,0,0,0,0,0,11-11-2017,11-13-2017,,
1054,Active,Philadelphia,PA,19146,0,0,0,0,0,0,0,0,0,0,0,0,03-20-2017,03-20-2017,,
1055,Active,Philadelphia,PA,19129,25,0,0,0,0,0,0,0,0,0,0,0,06-12-2017,06-13-2017,,
1056,Active,Philadelphia,PA,19148,0,0,0,0,0,0,0,0,0,0,0,0,07-10-2013,07-10-2013,,08-31-2008
1057,Active,Philadelphia,PA,19102,28,0,0,0,0,0,0,0,0,0,0,0,12-19-2016,12-19-2016,,
1058,Active,Philadelphia,PA,19136,196.3333333333,0,0,0,19.5,0,0,0,0,0,0,0,02-11-2015,02-16-2015,,
1059,Active,maple shade,NJ,8052,0,0,0,0,0,0,0,0,0,0,0,0,12-08-2017,12-08-2017,,
1060,Active,Philadelphia,PA,19115,19.5,0,0,0,19.5,0,0,0,3,0,0,0,03-15-2017,03-15-2017,,
1061,Active,,,,0,0,0,0,0,0,0,0,0,0,0,0,10-12-2017,10-12-2017,,
1062,Active,Philadelphia,PA,19139,0,0,0,0,0,0,0,0,0,0,0,0,10-30-2017,10-30-2017,,
1063,Active,,,,0,0,0,0,0,0,0,0,0,0,0,0,04-02-2017,04-02-2017,,
1064,Active,Philadelphia,PA,19130,110.25,0,0,0,110.25,0,0,0,10.75,0,0,0,11-10-2016,11-10-2016,,
1065,Active,Philadelphia,PA,19129,4,0,0,0,4,0,0,0,0,0,0,0,11-02-2017,11-03-2017,,
1066,Active,Philadelphia,PA,19106,8,0,0,0,0,0,0,0,0,0,0,0,03-25-2017,03-25-2017,,
